chrom	chromStart	chromEnd	name	score	strand
chrX	6029800	6029900	N	1	+
chrX	6032500	6032600	N	1	+
chrX	6034200	6034300	N	1	+
chrX	6036700	6036800	N	1	+
chrX	6036800	6036900	N	1	+
chrX	6037950	6038050	N	1	+
chrX	6038050	6038150	N	1	+
chrX	6038550	6038650	N	1	+
chrX	6039100	6039200	N	1	+
chrX	6040050	6040150	N	1	+
chrX	6041050	6041150	N	1	+
chrX	6042250	6042350	N	1	+
chrX	6043900	6044000	N	1	+
chrX	6045400	6045500	N	1	+
chrX	6052850	6052950	N	1	+
chrX	6054750	6054850	N	1	+
chrX	6056550	6056650	N	1	+
chrX	6059950	6060050	N	1	+
chrX	6060850	6060950	N	1	+
chrX	6062000	6062100	N	1	+
chrX	6062950	6063050	N	1	+
chrX	6063050	6063150	N	1	+
chrX	6066250	6066350	N	1	+
chrX	6070850	6070950	N	1	+
chrX	6073250	6073350	N	1	+
chrX	6075650	6075750	N	1	+
chrX	6077850	6077950	N	1	+
chrX	6086700	6086800	N	1	+
chrX	6088900	6089000	N	1	+
chrX	6093650	6093750	N	1	+
chrX	6094100	6094200	N	1	+
chrX	6095050	6095150	N	1	+
chrX	6098600	6098700	N	1	+
chrX	6099450	6099550	N	1	+
chrX	6100850	6100950	N	1	+
chrX	6102100	6102200	N	1	+
chrX	6102450	6102550	N	1	+
chrX	6102700	6102800	N	1	+
chrX	6102850	6102950	N	1	+
chrX	6103800	6103900	N	1	+
chrX	6106200	6106300	N	1	+
chrX	6109550	6109650	N	1	+
chrX	6111000	6111100	N	1	+
chrX	6111200	6111300	N	1	+
chrX	6112350	6112450	N	1	+
chrX	6113600	6113700	N	1	+
chrX	6117350	6117450	N	1	+
chrX	6118650	6118750	N	1	+
chrX	6120150	6120250	N	1	+
chrX	6120900	6121000	N	1	+
chrX	6134050	6134150	N	1	+
chrX	6148550	6148650	N	1	+
chrX	6152650	6152750	N	1	+
chrX	6161650	6161750	N	1	+
chrX	6162850	6162950	N	1	+
chrX	6164300	6164400	N	1	+
chrX	6164950	6165050	N	1	+
chrX	6167100	6167200	N	1	+
chrX	6168750	6168850	N	1	+
chrX	6168850	6168950	N	1	+
chrX	6172600	6172700	N	1	+
chrX	6176700	6176800	N	1	+
chrX	6177500	6177600	N	1	+
chrX	6179850	6179950	N	1	+
chrX	6184650	6184750	N	1	+
chrX	6185500	6185600	N	1	+
chrX	6185700	6185800	N	1	+
chrX	6194700	6194800	N	1	+
chrX	6195150	6195250	N	1	+
chrX	6195650	6195750	N	1	+
chrX	6196000	6196100	N	1	+
chrX	6197800	6197900	N	1	+
chrX	6198000	6198100	N	1	+
chrX	6199000	6199100	N	1	+
chrX	6199950	6200050	N	1	+
chrX	6204600	6204700	N	1	+
chrX	6204700	6204800	N	1	+
chrX	6205100	6205200	N	1	+
chrX	6212700	6212800	N	1	+
chrX	6214500	6214600	N	1	+
chrX	6215950	6216050	N	1	+
chrX	6217350	6217450	N	1	+
chrX	6218400	6218500	N	1	+
chrX	6220700	6220800	N	1	+
chrX	6223200	6223300	N	1	+
chrX	6244100	6244200	N	1	+
chrX	6247400	6247500	N	1	+
chrX	6248900	6249000	N	1	+
chrX	6331500	6331600	N	1	+
chrX	6466700	6466800	N	1	+
chrX	6494450	6494550	N	1	+
chrX	6531050	6531150	N	1	+
chrX	6544950	6545050	N	1	+
chrX	6605250	6605350	N	1	+
chrX	6674050	6674150	N	1	+
chrX	6689700	6689800	N	1	+
chrX	6698850	6698950	N	1	+
chrX	6720800	6720900	N	1	+
chrX	6737200	6737300	N	1	+
chrX	6765450	6765550	N	1	+
chrX	6765700	6765800	N	1	+
chrX	6766500	6766600	N	1	+
chrX	6766600	6766700	N	1	+
chrX	6773550	6773650	N	1	+
chrX	6781450	6781550	N	1	+
chrX	6781600	6781700	N	1	+
chrX	6791350	6791450	N	1	+
chrX	6808150	6808250	N	1	+
chrX	6826650	6826750	N	1	+
chrX	6833500	6833600	N	1	+
chrX	6859650	6859750	N	1	+
chrX	6866200	6866300	N	1	+
chrX	6870800	6870900	N	1	+
chrX	6885900	6886000	N	1	+
chrX	6891100	6891200	N	1	+
chrX	6891250	6891350	N	1	+
chrX	6895650	6895750	N	1	+
chrX	6895750	6895850	N	1	+
chrX	6896000	6896100	N	1	+
chrX	6896100	6896200	N	1	+
chrX	6896500	6896600	N	1	+
chrX	6896800	6896900	N	1	+
chrX	6897000	6897100	N	1	+
chrX	6898350	6898450	N	1	+
chrX	6914050	6914150	N	1	+
chrX	6953450	6953550	N	1	+
chrX	6953750	6953850	N	1	+
chrX	6954150	6954250	N	1	+
chrX	6954300	6954400	N	1	+
chrX	6954400	6954500	N	1	+
chrX	6954800	6954900	N	1	+
chrX	6955000	6955100	N	1	+
chrX	6955300	6955400	N	1	+
chrX	6955850	6955950	N	1	+
chrX	6956100	6956200	N	1	+
chrX	6956300	6956400	N	1	+
chrX	6956500	6956600	N	1	+
chrX	6957550	6957650	N	1	+
chrX	6958650	6958750	N	1	+
chrX	6958900	6959000	N	1	+
chrX	6964300	6964400	N	1	+
chrX	7038500	7038600	N	1	+
chrX	7140550	7140650	N	1	+
chrX	7150700	7150800	N	1	+
chrX	7150950	7151050	N	1	+
chrX	7151050	7151150	N	1	+
chrX	7151150	7151250	N	1	+
chrX	7151250	7151350	N	1	+
chrX	7151850	7151950	N	1	+
chrX	7153000	7153100	N	1	+
chrX	7157250	7157350	N	1	+
chrX	7160150	7160250	N	1	+
chrX	7181850	7181950	N	1	+
chrX	7182000	7182100	N	1	+
chrX	7182600	7182700	N	1	+
chrX	7182750	7182850	N	1	+
chrX	7182950	7183050	N	1	+
chrX	7210100	7210200	N	1	+
chrX	7211800	7211900	N	1	+
chrX	7212050	7212150	N	1	+
chrX	7212250	7212350	N	1	+
chrX	7217850	7217950	N	1	+
chrX	7218900	7219000	N	1	+
chrX	7219450	7219550	N	1	+
chrX	7219850	7219950	N	1	+
chrX	7222000	7222100	N	1	+
chrX	7222150	7222250	N	1	+
chrX	7226550	7226650	N	1	+
chrX	7227050	7227150	N	1	+
chrX	7227300	7227400	N	1	+
chrX	7227800	7227900	N	1	+
chrX	7228000	7228100	N	1	+
chrX	7228100	7228200	N	1	+
chrX	7228400	7228500	N	1	+
chrX	7228550	7228650	N	1	+
chrX	7228850	7228950	N	1	+
chrX	7229000	7229100	N	1	+
chrX	7229200	7229300	N	1	+
chrX	7229400	7229500	N	1	+
chrX	7229550	7229650	N	1	+
chrX	7229800	7229900	N	1	+
chrX	7229950	7230050	N	1	+
chrX	7230300	7230400	N	1	+
chrX	7230400	7230500	N	1	+
chrX	7230550	7230650	N	1	+
chrX	7230650	7230750	N	1	+
chrX	7230750	7230850	N	1	+
chrX	7231000	7231100	N	1	+
chrX	7231100	7231200	N	1	+
chrX	7235050	7235150	N	1	+
chrX	7235200	7235300	N	1	+
chrX	7235400	7235500	N	1	+
chrX	7235650	7235750	N	1	+
chrX	7235800	7235900	N	1	+
chrX	7236150	7236250	N	1	+
chrX	7236450	7236550	N	1	+
chrX	7236900	7237000	N	1	+
chrX	7237150	7237250	N	1	+
chrX	7237250	7237350	N	1	+
chrX	7237550	7237650	N	1	+
chrX	7238050	7238150	N	1	+
chrX	7239000	7239100	N	1	+
chrX	7239450	7239550	N	1	+
chrX	7239800	7239900	N	1	+
chrX	7240400	7240500	N	1	+
chrX	7240550	7240650	N	1	+
chrX	7240850	7240950	N	1	+
chrX	7240950	7241050	N	1	+
chrX	7241050	7241150	N	1	+
chrX	7241250	7241350	N	1	+
chrX	7241350	7241450	N	1	+
chrX	7241450	7241550	N	1	+
chrX	7241600	7241700	N	1	+
chrX	7241700	7241800	N	1	+
chrX	7241800	7241900	N	1	+
chrX	7241950	7242050	N	1	+
chrX	7242100	7242200	N	1	+
chrX	7242200	7242300	N	1	+
chrX	7242350	7242450	N	1	+
chrX	7242550	7242650	N	1	+
chrX	7242800	7242900	N	1	+
chrX	7243000	7243100	N	1	+
chrX	7243100	7243200	N	1	+
chrX	7243300	7243400	N	1	+
chrX	7243450	7243550	N	1	+
chrX	7243550	7243650	N	1	+
chrX	7243700	7243800	N	1	+
chrX	7244250	7244350	N	1	+
chrX	7244650	7244750	N	1	+
chrX	7244750	7244850	N	1	+
chrX	7245600	7245700	N	1	+
chrX	7245750	7245850	N	1	+
chrX	7246000	7246100	N	1	+
chrX	7246500	7246600	N	1	+
chrX	7247050	7247150	N	1	+
chrX	7247250	7247350	N	1	+
chrX	7247750	7247850	N	1	+
chrX	7248050	7248150	N	1	+
chrX	7248250	7248350	N	1	+
chrX	7248350	7248450	N	1	+
chrX	7248500	7248600	N	1	+
chrX	7248750	7248850	N	1	+
chrX	7249350	7249450	N	1	+
chrX	7249750	7249850	N	1	+
chrX	7249950	7250050	N	1	+
chrX	7250400	7250500	N	1	+
chrX	7250550	7250650	N	1	+
chrX	7250700	7250800	N	1	+
chrX	7250800	7250900	N	1	+
chrX	7250900	7251000	N	1	+
chrX	7251000	7251100	N	1	+
chrX	7251200	7251300	N	1	+
chrX	7251900	7252000	N	1	+
chrX	7252000	7252100	N	1	+
chrX	7252200	7252300	N	1	+
chrX	7252300	7252400	N	1	+
chrX	7253050	7253150	N	1	+
chrX	7253150	7253250	N	1	+
chrX	7253350	7253450	N	1	+
chrX	7253750	7253850	N	1	+
chrX	7253900	7254000	N	1	+
chrX	7254300	7254400	N	1	+
chrX	7254400	7254500	N	1	+
chrX	7254500	7254600	N	1	+
chrX	7254850	7254950	N	1	+
chrX	7255650	7255750	N	1	+
chrX	7255900	7256000	N	1	+
chrX	7256100	7256200	N	1	+
chrX	7256300	7256400	N	1	+
chrX	7256450	7256550	N	1	+
chrX	7256600	7256700	N	1	+
chrX	7256700	7256800	N	1	+
chrX	7257000	7257100	N	1	+
chrX	7257100	7257200	N	1	+
chrX	7257350	7257450	N	1	+
chrX	7257500	7257600	N	1	+
chrX	7257850	7257950	N	1	+
chrX	7257950	7258050	N	1	+
chrX	7259000	7259100	N	1	+
chrX	7260650	7260750	N	1	+
chrX	7275850	7275950	N	1	+
chrX	7276100	7276200	N	1	+
chrX	7276300	7276400	N	1	+
chrX	7276400	7276500	N	1	+
chrX	7276850	7276950	N	1	+
chrX	7277100	7277200	N	1	+
chrX	7277600	7277700	N	1	+
chrX	7277750	7277850	N	1	+
chrX	7277950	7278050	N	1	+
chrX	7278300	7278400	N	1	+
chrX	7278650	7278750	N	1	+
chrX	7278850	7278950	N	1	+
chrX	7279100	7279200	N	1	+
chrX	7279200	7279300	N	1	+
chrX	7279550	7279650	N	1	+
chrX	7279900	7280000	N	1	+
chrX	7280000	7280100	N	1	+
chrX	7280200	7280300	N	1	+
chrX	7280300	7280400	N	1	+
chrX	7280500	7280600	N	1	+
chrX	7280650	7280750	N	1	+
chrX	7280850	7280950	N	1	+
chrX	7281200	7281300	N	1	+
chrX	7281700	7281800	N	1	+
chrX	7282050	7282150	N	1	+
chrX	7282150	7282250	N	1	+
chrX	7282250	7282350	N	1	+
chrX	7282350	7282450	N	1	+
chrX	7282450	7282550	N	1	+
chrX	7282900	7283000	N	1	+
chrX	7283600	7283700	N	1	+
chrX	7284000	7284100	N	1	+
chrX	7284900	7285000	N	1	+
chrX	7285150	7285250	N	1	+
chrX	7285300	7285400	N	1	+
chrX	7285400	7285500	N	1	+
chrX	7285850	7285950	N	1	+
chrX	7285950	7286050	N	1	+
chrX	7286100	7286200	N	1	+
chrX	7286250	7286350	N	1	+
chrX	7286700	7286800	N	1	+
chrX	7286950	7287050	N	1	+
chrX	7287050	7287150	N	1	+
chrX	7287950	7288050	N	1	+
chrX	7288100	7288200	N	1	+
chrX	7288900	7289000	N	1	+
chrX	7289700	7289800	N	1	+
chrX	7289900	7290000	N	1	+
chrX	7290400	7290500	N	1	+
chrX	7290500	7290600	N	1	+
chrX	7290700	7290800	N	1	+
chrX	7290850	7290950	N	1	+
chrX	7291350	7291450	N	1	+
chrX	7291800	7291900	N	1	+
chrX	7292000	7292100	N	1	+
chrX	7292150	7292250	N	1	+
chrX	7292250	7292350	N	1	+
chrX	7293300	7293400	N	1	+
chrX	7294500	7294600	N	1	+
chrX	7295900	7296000	N	1	+
chrX	7297150	7297250	N	1	+
chrX	7298100	7298200	N	1	+
chrX	7299100	7299200	N	1	+
chrX	7299650	7299750	N	1	+
chrX	7299950	7300050	N	1	+
chrX	7300350	7300450	N	1	+
chrX	7301150	7301250	N	1	+
chrX	7301550	7301650	N	1	+
chrX	7301650	7301750	N	1	+
chrX	7301750	7301850	N	1	+
chrX	7301850	7301950	N	1	+
chrX	7302050	7302150	N	1	+
chrX	7302250	7302350	N	1	+
chrX	7302650	7302750	N	1	+
chrX	7302800	7302900	N	1	+
chrX	7303200	7303300	N	1	+
chrX	7303750	7303850	N	1	+
chrX	7303850	7303950	N	1	+
chrX	7304200	7304300	N	1	+
chrX	7304300	7304400	N	1	+
chrX	7304450	7304550	N	1	+
chrX	7305850	7305950	N	1	+
chrX	7306050	7306150	N	1	+
chrX	7306200	7306300	N	1	+
chrX	7306400	7306500	N	1	+
chrX	7306550	7306650	N	1	+
chrX	7306650	7306750	N	1	+
chrX	7306950	7307050	N	1	+
chrX	7307050	7307150	N	1	+
chrX	7307450	7307550	N	1	+
chrX	7308000	7308100	N	1	+
chrX	7308200	7308300	N	1	+
chrX	7308350	7308450	N	1	+
chrX	7308450	7308550	N	1	+
chrX	7308700	7308800	N	1	+
chrX	7309050	7309150	N	1	+
chrX	7309500	7309600	N	1	+
chrX	7318800	7318900	N	1	+
chrX	7327850	7327950	N	1	+
chrX	7328700	7328800	N	1	+
chrX	7339750	7339850	N	1	+
chrX	7346050	7346150	N	1	+
chrX	7355000	7355100	N	1	+
chrX	7355100	7355200	N	1	+
chrX	7355300	7355400	N	1	+
chrX	7356650	7356750	N	1	+
chrX	7357950	7358050	N	1	+
chrX	7358350	7358450	N	1	+
chrX	7359550	7359650	N	1	+
chrX	7360050	7360150	N	1	+
chrX	7361350	7361450	N	1	+
chrX	7366400	7366500	N	1	+
chrX	7366800	7366900	N	1	+
chrX	7375500	7375600	N	1	+
chrX	7378050	7378150	N	1	+
chrX	7378550	7378650	N	1	+
chrX	7379050	7379150	N	1	+
chrX	7380650	7380750	N	1	+
chrX	7380800	7380900	N	1	+
chrX	7382800	7382900	N	1	+
chrX	7383400	7383500	N	1	+
chrX	7383900	7384000	N	1	+
chrX	7384650	7384750	N	1	+
chrX	7386050	7386150	N	1	+
chrX	7389150	7389250	N	1	+
chrX	7390400	7390500	N	1	+
chrX	7391450	7391550	N	1	+
chrX	7391950	7392050	N	1	+
chrX	7392400	7392500	N	1	+
chrX	7392850	7392950	N	1	+
chrX	7393050	7393150	N	1	+
chrX	7393300	7393400	N	1	+
chrX	7394150	7394250	N	1	+
chrX	7394250	7394350	N	1	+
chrX	7394800	7394900	N	1	+
chrX	7396250	7396350	N	1	+
chrX	7399450	7399550	N	1	+
chrX	7399650	7399750	N	1	+
chrX	7399850	7399950	N	1	+
chrX	7399950	7400050	N	1	+
chrX	7400100	7400200	N	1	+
chrX	7400400	7400500	N	1	+
chrX	7400550	7400650	N	1	+
chrX	7400650	7400750	N	1	+
chrX	7400800	7400900	N	1	+
chrX	7402700	7402800	N	1	+
chrX	7403700	7403800	N	1	+
chrX	7404300	7404400	N	1	+
chrX	7404550	7404650	N	1	+
chrX	7404850	7404950	N	1	+
chrX	7406700	7406800	N	1	+
chrX	7409050	7409150	N	1	+
chrX	7409900	7410000	N	1	+
chrX	7410050	7410150	N	1	+
chrX	7411500	7411600	N	1	+
chrX	7411700	7411800	N	1	+
chrX	7412450	7412550	N	1	+
chrX	7412800	7412900	N	1	+
chrX	7413400	7413500	N	1	+
chrX	7414200	7414300	N	1	+
chrX	7415600	7415700	N	1	+
chrX	7416700	7416800	N	1	+
chrX	7416800	7416900	N	1	+
chrX	7416950	7417050	N	1	+
chrX	7417100	7417200	N	1	+
chrX	7418600	7418700	N	1	+
chrX	7418750	7418850	N	1	+
chrX	7418850	7418950	N	1	+
chrX	7419550	7419650	N	1	+
chrX	7421650	7421750	N	1	+
chrX	7421800	7421900	N	1	+
chrX	7423050	7423150	N	1	+
chrX	7423400	7423500	N	1	+
chrX	7423500	7423600	N	1	+
chrX	7423750	7423850	N	1	+
chrX	7423900	7424000	N	1	+
chrX	7424250	7424350	N	1	+
chrX	7424400	7424500	N	1	+
chrX	7424950	7425050	N	1	+
chrX	7425200	7425300	N	1	+
chrX	7425700	7425800	N	1	+
chrX	7425800	7425900	N	1	+
chrX	7425900	7426000	N	1	+
chrX	7426200	7426300	N	1	+
chrX	7426600	7426700	N	1	+
chrX	7426750	7426850	N	1	+
chrX	7427500	7427600	N	1	+
chrX	7427950	7428050	N	1	+
chrX	7430100	7430200	N	1	+
chrX	7430450	7430550	N	1	+
chrX	7430700	7430800	N	1	+
chrX	7431200	7431300	N	1	+
chrX	7431300	7431400	N	1	+
chrX	7431450	7431550	N	1	+
chrX	7432000	7432100	N	1	+
chrX	7432650	7432750	N	1	+
chrX	7432850	7432950	N	1	+
chrX	7432950	7433050	N	1	+
chrX	7433050	7433150	N	1	+
chrX	7433250	7433350	N	1	+
chrX	7433850	7433950	N	1	+
chrX	7434400	7434500	N	1	+
chrX	7434550	7434650	N	1	+
chrX	7435150	7435250	N	1	+
chrX	7435650	7435750	N	1	+
chrX	7436550	7436650	N	1	+
chrX	7436900	7437000	N	1	+
chrX	7437750	7437850	N	1	+
chrX	7438000	7438100	N	1	+
chrX	7438150	7438250	N	1	+
chrX	7438250	7438350	N	1	+
chrX	7438400	7438500	N	1	+
chrX	7438600	7438700	N	1	+
chrX	7439550	7439650	N	1	+
chrX	7439650	7439750	N	1	+
chrX	7440050	7440150	N	1	+
chrX	7440150	7440250	N	1	+
chrX	7440650	7440750	N	1	+
chrX	7441000	7441100	N	1	+
chrX	7441100	7441200	N	1	+
chrX	7441900	7442000	N	1	+
chrX	7442000	7442100	N	1	+
chrX	7442150	7442250	N	1	+
chrX	7442250	7442350	N	1	+
chrX	7442400	7442500	N	1	+
chrX	7442750	7442850	N	1	+
chrX	7442950	7443050	N	1	+
chrX	7443150	7443250	N	1	+
chrX	7443450	7443550	N	1	+
chrX	7444000	7444100	N	1	+
chrX	7444200	7444300	N	1	+
chrX	7444400	7444500	N	1	+
chrX	7446200	7446300	N	1	+
chrX	7446300	7446400	N	1	+
chrX	7446550	7446650	N	1	+
chrX	7446950	7447050	N	1	+
chrX	7447100	7447200	N	1	+
chrX	7447550	7447650	N	1	+
chrX	7447750	7447850	N	1	+
chrX	7448750	7448850	N	1	+
chrX	7449450	7449550	N	1	+
chrX	7451300	7451400	N	1	+
chrX	7453550	7453650	N	1	+
chrX	7455700	7455800	N	1	+
chrX	7455850	7455950	N	1	+
chrX	7456150	7456250	N	1	+
chrX	7456700	7456800	N	1	+
chrX	7457250	7457350	N	1	+
chrX	7457450	7457550	N	1	+
chrX	7457600	7457700	N	1	+
chrX	7457900	7458000	N	1	+
chrX	7458000	7458100	N	1	+
chrX	7458250	7458350	N	1	+
chrX	7458850	7458950	N	1	+
chrX	7458950	7459050	N	1	+
chrX	7459300	7459400	N	1	+
chrX	7459450	7459550	N	1	+
chrX	7459650	7459750	N	1	+
chrX	7459750	7459850	N	1	+
chrX	7460300	7460400	N	1	+
chrX	7460400	7460500	N	1	+
chrX	7460600	7460700	N	1	+
chrX	7460750	7460850	N	1	+
chrX	7460950	7461050	N	1	+
chrX	7462450	7462550	N	1	+
chrX	7463100	7463200	N	1	+
chrX	7463800	7463900	N	1	+
chrX	7464200	7464300	N	1	+
chrX	7464550	7464650	N	1	+
chrX	7464900	7465000	N	1	+
chrX	7465300	7465400	N	1	+
chrX	7465550	7465650	N	1	+
chrX	7465650	7465750	N	1	+
chrX	7466100	7466200	N	1	+
chrX	7466900	7467000	N	1	+
chrX	7467050	7467150	N	1	+
chrX	7467200	7467300	N	1	+
chrX	7467300	7467400	N	1	+
chrX	7467450	7467550	N	1	+
chrX	7467600	7467700	N	1	+
chrX	7467900	7468000	N	1	+
chrX	7468500	7468600	N	1	+
chrX	7468650	7468750	N	1	+
chrX	7468900	7469000	N	1	+
chrX	7469200	7469300	N	1	+
chrX	7469300	7469400	N	1	+
chrX	7469600	7469700	N	1	+
chrX	7469700	7469800	N	1	+
chrX	7469800	7469900	N	1	+
chrX	7469900	7470000	N	1	+
chrX	7470600	7470700	N	1	+
chrX	7471850	7471950	N	1	+
chrX	7472450	7472550	N	1	+
chrX	7472750	7472850	N	1	+
chrX	7473250	7473350	N	1	+
chrX	7473400	7473500	N	1	+
chrX	7474300	7474400	N	1	+
chrX	7475050	7475150	N	1	+
chrX	7475300	7475400	N	1	+
chrX	7475500	7475600	N	1	+
chrX	7475600	7475700	N	1	+
chrX	7476000	7476100	N	1	+
chrX	7476100	7476200	N	1	+
chrX	7476200	7476300	N	1	+
chrX	7476450	7476550	N	1	+
chrX	7477100	7477200	N	1	+
chrX	7477200	7477300	N	1	+
chrX	7477300	7477400	N	1	+
chrX	7477500	7477600	N	1	+
chrX	7478300	7478400	N	1	+
chrX	7479250	7479350	N	1	+
chrX	7479700	7479800	N	1	+
chrX	7479800	7479900	N	1	+
chrX	7480000	7480100	N	1	+
chrX	7480100	7480200	N	1	+
chrX	7480250	7480350	N	1	+
chrX	7480400	7480500	N	1	+
chrX	7480550	7480650	N	1	+
chrX	7480800	7480900	N	1	+
chrX	7480900	7481000	N	1	+
chrX	7481550	7481650	N	1	+
chrX	7481900	7482000	N	1	+
chrX	7483100	7483200	N	1	+
chrX	7483200	7483300	N	1	+
chrX	7483300	7483400	N	1	+
chrX	7483700	7483800	N	1	+
chrX	7484100	7484200	N	1	+
chrX	7484250	7484350	N	1	+
chrX	7484450	7484550	N	1	+
chrX	7484600	7484700	N	1	+
chrX	7485000	7485100	N	1	+
chrX	7485100	7485200	N	1	+
chrX	7485200	7485300	N	1	+
chrX	7485300	7485400	N	1	+
chrX	7485800	7485900	N	1	+
chrX	7485900	7486000	N	1	+
chrX	7486100	7486200	N	1	+
chrX	7486400	7486500	N	1	+
chrX	7486500	7486600	N	1	+
chrX	7486850	7486950	N	1	+
chrX	7487000	7487100	N	1	+
chrX	7487400	7487500	N	1	+
chrX	7487550	7487650	N	1	+
chrX	7487650	7487750	N	1	+
chrX	7487750	7487850	N	1	+
chrX	7488300	7488400	N	1	+
chrX	7488450	7488550	N	1	+
chrX	7525250	7525350	N	1	+
chrX	7525950	7526050	N	1	+
chrX	7526100	7526200	N	1	+
chrX	7526200	7526300	N	1	+
chrX	7526550	7526650	N	1	+
chrX	7527750	7527850	N	1	+
chrX	7528350	7528450	N	1	+
chrX	7528950	7529050	N	1	+
chrX	7533250	7533350	N	1	+
chrX	7543950	7544050	N	1	+
chrX	7553700	7553800	N	1	+
chrX	7553850	7553950	N	1	+
chrX	7558400	7558500	N	1	+
chrX	7565800	7565900	N	1	+
chrX	7568200	7568300	N	1	+
chrX	7570400	7570500	N	1	+
chrX	7571100	7571200	N	1	+
chrX	7571450	7571550	N	1	+
chrX	7577850	7577950	N	1	+
chrX	7578100	7578200	N	1	+
chrX	7586750	7586850	N	1	+
chrX	7589600	7589700	N	1	+
chrX	7644000	7644100	N	1	+
chrX	7651500	7651600	N	1	+
chrX	7651800	7651900	N	1	+
chrX	7656900	7657000	N	1	+
chrX	7668050	7668150	N	1	+
chrX	7668200	7668300	N	1	+
chrX	7668400	7668500	N	1	+
chrX	7668900	7669000	N	1	+
chrX	7669000	7669100	N	1	+
chrX	7669100	7669200	N	1	+
chrX	7669200	7669300	N	1	+
chrX	7672850	7672950	N	1	+
chrX	7674100	7674200	N	1	+
chrX	7675100	7675200	N	1	+
chrX	7675350	7675450	N	1	+
chrX	7675450	7675550	N	1	+
chrX	7676550	7676650	N	1	+
chrX	7676900	7677000	N	1	+
chrX	7677100	7677200	N	1	+
chrX	7677250	7677350	N	1	+
chrX	7677350	7677450	N	1	+
chrX	7677450	7677550	N	1	+
chrX	7677600	7677700	N	1	+
chrX	7677850	7677950	N	1	+
chrX	7679350	7679450	N	1	+
chrX	7679950	7680050	N	1	+
chrX	7680450	7680550	N	1	+
chrX	7681300	7681400	N	1	+
chrX	7683100	7683200	N	1	+
chrX	7684950	7685050	N	1	+
chrX	7686800	7686900	N	1	+
chrX	7700500	7700600	N	1	+
chrX	7708950	7709050	N	1	+
chrX	7710700	7710800	N	1	+
chrX	7710850	7710950	N	1	+
chrX	7711100	7711200	N	1	+
chrX	7711400	7711500	N	1	+
chrX	7711800	7711900	N	1	+
chrX	7711900	7712000	N	1	+
chrX	7712050	7712150	N	1	+
chrX	7712150	7712250	N	1	+
chrX	7712400	7712500	N	1	+
chrX	7712550	7712650	N	1	+
chrX	7712900	7713000	N	1	+
chrX	7713000	7713100	N	1	+
chrX	7713150	7713250	N	1	+
chrX	7713500	7713600	N	1	+
chrX	7714000	7714100	N	1	+
chrX	7714100	7714200	N	1	+
chrX	7714200	7714300	N	1	+
chrX	7714300	7714400	N	1	+
chrX	7714450	7714550	N	1	+
chrX	7714600	7714700	N	1	+
