chr	start	end	strand
chr1	9812450	9813153	+
chr1	9813658	9814479	+
chr1	9814881	9826181	+
chr1	9827266	9828834	+
chr1	9829378	9831212	+
chr1	9831700	9837968	+
chr1	9838590	9841836	+
chr1	9842798	9845931	+
chr1	9846585	9848133	+
chr1	9848880	9851090	+
chr1	9852289	9853638	+
chr1	9854522	9855754	+
chr1	9856311	9857819	+
chr1	9858459	9865289	+
chr1	9866299	9868529	+
chr1	9869041	9869948	+
chr1	9871029	9874391	+
chr1	9874870	9884016	+
chr1	9883065	9883295	-
chr1	9884455	9899867	+
chr1	9925829	9932189	-
chr1	9932190	9934239	-
chr1	9933824	9935138	+
chr1	10010318	10028260	-
chr1	10028345	10030287	+
chr1	10037542	10037961	+
chr1	10048380	10048938	+
chr1	10050344	10052659	+
chr1	10053087	10054579	+
chr1	10055409	10059727	+
chr1	10060279	10061979	+
chr1	10062512	10068126	+
chr1	10069471	10069758	+
chr1	10071473	10072824	+
chr1	10073599	10074719	+
chr1	10075245	10075960	+
chr1	10077076	10077898	+
chr1	10078901	10079191	+
chr1	10081678	10082628	+
chr1	10085695	10087331	+
chr1	10088577	10089115	+
chr1	10094312	10094643	+
chr1	10095279	10096635	+
chr1	10100575	10101669	+
chr1	10102468	10103495	+
chr1	10104003	10107898	+
chr1	10114762	10116507	+
chr1	10119220	10120694	-
chr1	10120774	10121024	+
chr1	10121160	10133213	-
chr1	10123296	10123816	+
chr1	10125754	10126462	+
chr1	10127567	10128289	+
chr1	10133694	10136971	-
chr1	10137488	10138783	-
chr1	10139451	10148226	-
chr1	10148856	10151096	-
chr1	10152449	10163906	-
chr1	10164441	10171895	-
chr1	10172685	10178510	-
chr1	10178837	10181000	-
chr1	10181526	10183033	-
chr1	10183724	10202531	-
chr1	10203097	10214731	-
chr1	10215348	10223167	-
chr1	10222914	10224297	+
chr1	13126125	13134035	-
chr1	13134649	13134918	-
chr1	13135650	13137618	-
chr1	13137924	13146359	-
chr1	13147113	13147499	-
chr1	13148869	13153756	-
chr1	13154373	13154712	-
chr1	13155062	13155924	-
chr1	13156640	13166526	-
chr1	13167087	13168186	-
chr1	13168819	13175497	-
chr1	13176346	13177021	-
chr1	13177731	13177992	-
chr1	13179651	13180523	-
chr1	13181524	13183025	-
chr1	13183601	13185243	-
chr1	13185824	13186497	-
chr1	13186925	13188131	-
chr1	13189234	13190333	-
chr1	13190952	13192288	-
chr1	13192643	13193069	-
chr1	13193658	13194642	-
chr1	13195919	13197527	-
chr1	13204281	13204680	-
chr1	13205201	13212002	-
chr1	13213924	13214227	-
chr1	13215192	13218598	-
chr1	13219251	13220688	-
chr1	13221317	13222203	-
chr1	13223740	13225822	-
chr1	13226676	13229791	-
chr1	13230954	13239242	-
chr1	13239746	13241901	-
chr1	13242654	13243699	-
chr1	13244210	13248163	-
chr1	13248829	13258974	-
chr1	13259588	13275728	-
chr1	13276723	13282171	-
chr1	13283443	13283930	-
chr1	13284475	13284906	-
chr1	13285454	13291564	-
chr1	13292071	13295214	-
chr1	13295854	13301704	-
chr1	13302005	13306598	-
chr1	13307247	13308135	-
chr1	13308829	13314041	-
chr1	13314625	13315398	-
chr1	13316014	13325821	-
chr1	13326292	13327460	-
chr1	13329397	13330177	-
chr1	13330754	13356916	-
chr1	13357388	13363158	-
chr1	13362678	13365568	+
chr1	13364043	13364662	-
chr1	13416090	13416943	-
chr1	13416629	13417318	+
chr1	13550346	13579941	-
chr1	13579581	13580764	+
chr1	13604494	13606566	-
chr1	13610550	13623844	-
chr1	13624515	13625493	-
chr1	13626188	13628762	-
chr1	13629255	13638502	-
chr1	13639040	13641807	-
chr1	13642641	13650628	-
chr1	13650695	13651221	+
chr1	14184468	14185507	-
chr1	14188847	14189469	-
chr1	14191889	14193714	-
chr1	14210932	14211515	-
chr1	14216329	14216940	-
chr1	14217636	14218415	-
chr1	14226106	14226342	-
chr1	14241446	14242602	-
chr1	14248003	14248218	-
chr1	14250557	14251211	-
chr1	14255411	14255756	-
chr1	14256570	14256795	-
chr1	14256851	14257189	-
chr1	14260407	14261008	-
chr1	14263814	14264491	-
chr1	14279295	14280256	-
chr1	14282146	14282707	-
chr1	14294259	14294766	-
chr1	15795167	15796134	-
chr1	15795708	15795933	+
chr1	15796394	15796768	+
chr1	15797876	15799952	+
chr1	15800638	15804409	+
chr1	15805385	15811024	+
chr1	15811547	15812897	+
chr1	15817939	15819787	+
chr1	15820517	15821693	+
chr1	15822520	15822746	+
chr1	15822943	15823602	+
chr1	15824402	15825569	+
chr1	15828998	15830551	+
chr1	15831127	15831453	+
chr1	15832044	15833510	+
chr1	15834517	15835884	+
chr1	15836298	15836901	+
chr1	15837879	15842109	+
chr1	15842612	15843454	+
chr1	15848270	15848996	+
chr1	16086710	16095163	-
chr1	16094827	16096792	+
chr1	16098900	16099784	+
chr1	16105217	16105600	+
chr1	16107917	16109159	+
chr1	16111736	16112390	+
chr1	16113461	16113771	+
chr1	16120149	16121653	+
chr1	16122563	16122975	+
chr1	16125703	16126263	+
chr1	16127243	16128150	+
chr1	16326811	16327115	-
chr1	16329700	16329996	-
chr1	16384608	16385094	-
chr1	16418520	16419849	-
chr1	16425847	16426341	-
chr1	16450596	16451008	-
chr1	16483270	16483535	-
chr1	16493034	16493498	-
chr1	16494769	16495064	-
chr1	16544759	16545985	-
chr1	16547577	16551035	-
chr1	16551537	16564814	-
chr1	16565319	16566933	-
chr1	16567257	16567632	-
chr1	16568068	16580646	-
chr1	16581193	16582894	-
chr1	16583468	16592606	-
chr1	16593353	16596074	-
chr1	16597088	16601763	-
chr1	16602508	16603220	-
chr1	16603959	16604755	-
chr1	16605377	16605590	-
chr1	16606267	16606691	-
chr1	16607619	16609384	-
chr1	16609524	16609767	+
chr1	16627196	16634799	-
chr1	16635492	16642472	-
chr1	16642926	16647139	-
chr1	16647020	16647708	+
chr1	16655254	16658914	+
chr1	16659748	16664765	+
chr1	16666565	16668412	+
chr1	16668956	16670155	+
chr1	16670604	16672765	+
chr1	16677478	16679094	-
chr1	16678493	16686189	+
chr1	16679618	16679845	-
chr1	16686688	16692190	+
chr1	16692702	16699821	+
chr1	16704507	16705136	+
chr1	20786633	20788245	-
chr1	20788952	20789746	-
chr1	20792660	20793480	-
chr1	20794070	20796019	-
chr1	20803092	20803847	-
chr1	20806884	20807588	-
chr1	20809645	20810330	-
chr1	20880650	20880931	+
chr1	20941041	20941558	-
chr1	20983379	20984812	-
chr1	20985524	20985893	-
chr1	20986372	20987788	-
chr1	20988093	20990993	-
chr1	21002144	21002635	-
chr1	21022696	21023589	-
chr1	21024860	21025448	-
chr1	21045921	21046592	-
chr1	21050868	21051354	-
chr1	21054026	21055292	-
chr1	21056197	21057813	-
chr1	21060141	21060410	-
chr1	21066643	21066900	-
chr1	21068818	21069779	-
chr1	21069521	21070249	+
chr1	21208449	21208899	-
chr1	21208670	21209325	+
chr1	21502302	21502620	-
chr1	23271052	23271626	+
chr1	23276548	23277096	+
chr1	23291440	23291824	+
chr1	23373963	23375061	-
chr1	23376388	23377135	-
chr1	23383985	23384387	-
chr1	23387567	23388162	-
chr1	23390334	23390707	+
chr1	23836328	23838408	-
chr1	23839099	23840387	-
chr1	23840923	23855956	-
chr1	23856523	23856979	-
chr1	23857768	23859683	-
chr1	23860162	23860660	-
chr1	23863949	23864634	-
chr1	23865207	23867985	-
chr1	23870584	23872909	-
chr1	23873033	23873367	-
chr1	23873660	23874905	-
chr1	23875500	23881254	-
chr1	23881895	23885369	-
chr1	23887500	23888556	-
chr1	23889086	23889962	-
chr1	23891109	23891383	-
chr1	23898708	23899201	-
chr1	23899878	23900778	-
chr1	23901697	23907300	-
chr1	23909039	23911415	-
chr1	23913301	23915863	-
chr1	23916395	23917031	-
chr1	23917913	23920076	-
chr1	23920796	23921525	-
chr1	23922006	23929168	-
chr1	23929438	23929930	+
chr1	24009998	24010677	-
chr1	24011854	24012225	-
chr1	24012242	24012495	-
chr1	24619556	24619995	+
chr1	24684802	24685382	-
chr1	24685492	24686633	+
chr1	24736641	24752153	+
chr1	24752664	24760821	+
chr1	24761315	24778152	+
chr1	24784663	24791013	+
chr1	24791597	24806961	+
chr1	24807630	24811260	+
chr1	24811783	24818526	+
chr1	24819034	24829951	+
chr1	24830306	24831690	+
chr1	30854737	30863215	-
chr1	30863717	30874785	-
chr1	30875339	30878394	-
chr1	30878599	30888422	-
chr1	30888853	30889176	-
chr1	30890103	30901875	-
chr1	30902202	30910399	-
chr1	30916771	30930998	-
chr1	30930797	30931452	+
chr1	30995874	30998465	-
chr1	31000122	31002919	-
chr1	31003457	31006935	-
chr1	31006225	31008366	+
chr1	31106761	31107089	-
chr1	31107372	31108339	+
chr1	33560058	33560957	-
chr1	33637157	33637383	-
chr1	33667288	33668370	-
chr1	33670160	33670895	-
chr1	33676583	33678765	-
chr1	33680153	33681062	-
chr1	33681560	33682519	-
chr1	33685868	33686179	-
chr1	33725666	33727226	-
chr1	33726654	33727417	+
chr1	33728175	33728408	+
chr1	33815000	33816601	-
chr1	33817968	33820150	-
chr1	33821116	33821349	-
chr1	33822588	33824016	-
chr1	33825378	33826730	-
chr1	33828792	33829577	-
chr1	33832629	33834481	-
chr1	33835857	33836302	-
chr1	33837654	33840795	-
chr1	33841415	33842525	-
chr1	33843145	33860103	-
chr1	33860574	33861331	-
chr1	33861922	33862289	-
chr1	33863612	33864033	-
chr1	33864498	33871273	-
chr1	34240890	34241358	+
chr1	34247632	34247976	+
chr1	34276015	34276333	+
chr1	34284858	34285980	+
chr1	34365143	34365490	+
chr1	34469796	34470987	-
chr1	34472390	34473124	-
chr1	34481312	34490239	-
chr1	34490240	34491359	+
chr1	34490703	34491420	-
chr1	34491489	34491853	-
chr1	34491915	34492630	+
chr1	34492011	34496534	-
chr1	34496337	34498527	+
chr1	34499456	34506873	+
chr1	34521166	34522083	+
chr1	34521211	34521594	-
chr1	34526882	34527116	-
chr1	34529264	34530052	-
chr1	34529577	34534667	+
chr1	34534680	34536936	+
chr1	34537854	34538321	+
chr1	34541692	34542792	-
chr1	34862834	34863318	+
chr1	34864318	34864552	+
chr1	34864401	34899804	-
chr1	34866658	34867966	+
chr1	34899915	34900687	+
chr1	34905940	34908540	-
chr1	34906556	34929967	+
chr1	34915130	34915682	-
chr1	34930504	34936733	+
chr1	34937524	34938820	+
chr1	34939336	34941689	+
chr1	36124788	36125076	-
chr1	36125196	36150059	+
chr1	36150677	36166678	+
chr1	36181936	36182194	-
chr1	36185176	36188061	-
chr1	36186429	36187999	+
chr1	36188921	36191738	-
chr1	36192254	36196731	-
chr1	36197451	36201074	-
chr1	36201718	36202308	-
chr1	36202643	36202966	-
chr1	36204749	36205367	-
chr1	36205857	36208011	-
chr1	36208551	36210349	-
chr1	36211933	36214051	-
chr1	36214864	36215434	-
chr1	36216777	36220580	-
chr1	36221048	36222828	-
chr1	36223346	36224136	-
chr1	36224685	36226000	-
chr1	36227028	36227566	-
chr1	36228158	36233175	-
chr1	36233847	36235861	-
chr1	36236415	36237333	-
chr1	36237917	36238650	-
chr1	36239317	36239952	-
chr1	36240764	36241607	-
chr1	36243470	36244798	-
chr1	36245366	36246126	-
chr1	36247045	36248461	-
chr1	36248953	36249327	-
chr1	36252215	36253146	-
chr1	36253902	36254281	-
chr1	36255254	36258910	-
chr1	36259640	36260130	-
chr1	36260405	36260670	-
chr1	36261227	36262093	-
chr1	36264677	36267493	-
chr1	36268013	36269825	-
chr1	36270565	36271469	-
chr1	36271989	36272249	-
chr1	36273958	36274394	-
chr1	36274883	36275514	-
chr1	36277038	36278218	-
chr1	36280148	36282157	-
chr1	36283405	36283889	-
chr1	36284407	36285404	-
chr1	36289230	36289768	-
chr1	36290524	36291011	-
chr1	36291681	36292082	-
chr1	36292861	36295207	-
chr1	36296450	36298065	-
chr1	36299206	36301190	-
chr1	36301267	36303145	+
chr1	36318646	36329394	-
chr1	36319213	36319616	+
chr1	36327910	36329009	+
chr1	36329427	36330344	-
chr1	36329973	36330761	+
chr1	36364570	36364885	+
chr1	36364887	36367134	+
chr1	36367939	36368972	+
chr1	36369569	36371019	+
chr1	36372024	36372417	+
chr1	36373018	36374205	+
chr1	36374746	36375491	+
chr1	36376158	36382950	+
chr1	36383838	36385031	-
chr1	36386295	36388084	-
chr1	36388634	36409569	-
chr1	36410068	36426003	-
chr1	36469568	36469921	-
chr1	36470676	36471566	-
chr1	36472110	36472568	-
chr1	36474479	36478659	-
chr1	36479202	36481766	-
chr1	36482529	36484496	-
chr1	36485584	36486508	-
chr1	36487803	36489274	-
chr1	36489947	36490170	-
chr1	36490959	36493563	-
chr1	36494132	36495211	-
chr1	36495735	36496153	-
chr1	36497492	36499719	-
chr1	36500316	36502099	-
chr1	36503187	36503610	+
chr1	36527155	36527541	+
chr1	36527635	36528304	-
chr1	36528063	36528725	+
chr1	36529211	36529828	+
chr1	36565331	36565907	+
chr1	36570107	36570795	+
chr1	36572437	36573960	+
chr1	36574283	36575265	+
chr1	36576984	36577735	+
chr1	36582192	36586830	+
chr1	36585920	36586579	-
chr1	36587182	36588054	-
chr1	36587436	36589133	+
chr1	36589715	36593684	-
chr1	36593987	36596045	-
chr1	36599791	36601291	-
chr1	36602758	36604083	-
chr1	36605499	36606213	-
chr1	36612331	36613577	-
chr1	36613487	36613958	+
chr1	36747943	36748256	-
chr1	36748380	36753223	+
chr1	36753181	36766821	-
chr1	36766012	36766425	+
chr1	36846510	36850143	-
chr1	36850904	36855238	-
chr1	36855748	36859364	-
chr1	36860007	36861516	-
chr1	36861999	36873036	-
chr1	36873529	36874128	-
chr1	36874608	36876403	-
chr1	36877014	36878762	-
chr1	36879271	36879659	-
chr1	36880161	36884171	-
chr1	36884934	36885744	-
chr1	36886794	36887645	-
chr1	36888258	36888584	-
chr1	36889938	36890407	-
chr1	36890988	36891850	-
chr1	36892939	36893153	-
chr1	36893801	36895012	-
chr1	36895458	36896427	-
chr1	36897258	36899595	-
chr1	36900298	36900884	-
chr1	36902221	36904089	-
chr1	36904610	36905263	-
chr1	36905741	36906345	-
chr1	36907606	36908364	-
chr1	36909279	36910029	-
chr1	36910244	36911783	-
chr1	36913461	36915371	-
chr1	36915956	36917215	-
chr1	36917791	36919926	-
chr1	36920295	36920537	-
chr1	36921104	36922548	-
chr1	36924754	36925639	-
chr1	36927172	36927777	-
chr1	36928394	36929603	-
chr1	36930649	36932598	-
chr1	36933523	36936397	-
chr1	36936926	36938744	-
chr1	36940011	36943914	-
chr1	36945253	36947263	-
chr1	36951948	36955283	-
chr1	36957010	36957359	-
chr1	36957858	36958674	-
chr1	36959712	36961236	-
chr1	36962303	36965289	-
chr1	36965906	36967391	-
chr1	36967873	36971176	-
chr1	36972119	36974923	-
chr1	36975260	36980251	-
chr1	36982500	36988557	-
chr1	36989135	36991154	-
chr1	36991638	36993758	-
chr1	36994181	36995814	-
chr1	36996285	36996495	-
chr1	36996801	36997627	+
chr1	37356708	37370223	+
chr1	37370896	37411206	+
chr1	37411745	37414973	+
chr1	37415390	37426875	+
chr1	37427454	37447895	+
chr1	37448285	37468595	+
chr1	37469065	37470207	+
chr1	37470736	37472335	+
chr1	37472556	37478255	-
chr1	37472757	37480139	+
chr1	37480571	37482780	-
chr1	37482683	37483343	+
chr1	37483330	37483965	-
chr1	37484725	37486897	-
chr1	37486904	37499761	+
chr1	37494101	37495152	-
chr1	37496847	37497082	-
chr1	37530807	37531685	-
chr1	37531155	37531448	+
chr1	37545004	37545491	-
chr1	37552279	37552990	-
chr1	37866969	37867649	-
chr1	37874665	37875501	-
chr1	37891073	37892409	-
chr1	37897620	37898131	-
chr1	37904459	37905051	-
chr1	37912464	37913144	-
chr1	37914465	37915743	-
chr1	37916945	37919111	-
chr1	37920619	37922067	-
chr1	37921797	37922361	+
chr1	37922367	37922680	+
chr1	37929006	37929678	+
chr1	37930209	37933858	-
chr1	37936926	37937914	-
chr1	37942017	37942793	-
chr1	37944785	37945173	-
chr1	37946116	37947013	-
chr1	37947000	37947587	+
chr1	37947032	37947251	-
chr1	37947717	37949518	+
chr1	37954599	37955202	+
chr1	37955568	37957859	+
chr1	38038715	38054921	-
chr1	38053814	38070290	+
chr1	38069842	38070117	-
chr1	38070851	38075498	+
chr1	38075699	38076402	+
chr1	38076403	38078253	+
chr1	38078297	38078804	+
chr1	38078942	38079158	+
chr1	38079217	38081708	+
chr1	38082672	38088378	+
chr1	38088746	38089254	+
chr1	38089864	38090996	+
chr1	38092177	38092508	+
chr1	38092811	38093110	+
chr1	38093165	38095396	+
chr1	38096009	38100652	+
chr1	38101198	38114888	+
chr1	38102614	38109716	-
chr1	38109842	38114143	-
chr1	38115258	38116671	-
chr1	38117248	38119098	-
chr1	38122289	38123068	-
chr1	38123785	38124838	-
chr1	38125432	38125782	-
chr1	38126439	38129945	-
chr1	38130397	38131896	-
chr1	38132522	38133830	-
chr1	38134339	38136795	-
chr1	38137340	38138766	-
chr1	38139272	38141577	-
chr1	38142450	38147496	-
chr1	38148415	38148980	-
chr1	38149789	38150224	-
chr1	38151893	38157301	-
chr1	38158258	38159619	-
chr1	38160565	38162448	-
chr1	38163237	38165112	-
chr1	38166666	38167950	-
chr1	38168440	38169285	-
chr1	38171954	38177545	-
chr1	38178023	38178562	-
chr1	38179299	38186559	-
chr1	38186669	38187139	+
chr1	39044254	39044560	-
chr1	39044658	39045329	+
chr1	39046018	39047184	+
chr1	39047607	39053914	+
chr1	39054414	39057256	+
chr1	39297510	39297827	+
chr1	39304078	39304414	+
chr1	39349949	39350401	+
chr1	39363222	39364101	-
chr1	39364311	39365496	+
chr1	39369832	39370675	-
chr1	39406080	39406829	+
chr1	39422579	39424565	-
chr1	39424737	39435251	+
chr1	39425390	39426624	-
chr1	39428375	39429438	-
chr1	39429975	39430669	-
chr1	39431285	39432060	-
chr1	39432809	39433416	-
chr1	39434539	39435093	-
chr1	39437552	39437897	-
chr1	39438518	39439316	-
chr1	39439824	39440948	-
chr1	39441720	39443893	-
chr1	39445031	39445280	-
chr1	39445950	39446260	-
chr1	39449061	39449758	-
chr1	39455626	39455880	-
chr1	39459630	39461679	-
chr1	39470832	39471364	-
chr1	39476250	39476960	-
chr1	39479703	39480022	-
chr1	39483893	39484389	-
chr1	39484744	39485543	-
chr1	39489181	39489906	-
chr1	39494678	39495395	-
chr1	39496434	39496834	-
chr1	39498700	39499212	-
chr1	39499922	39500327	-
chr1	39501282	39501656	-
chr1	39502226	39503310	-
chr1	39508715	39509175	-
chr1	39509712	39510514	-
chr1	39511454	39512128	-
chr1	39513620	39513919	-
chr1	39514414	39514705	-
chr1	39515908	39516929	-
chr1	39519695	39520239	-
chr1	39522742	39524518	-
chr1	39525051	39526782	-
chr1	39527330	39528265	-
chr1	39528770	39535402	-
chr1	39535660	39537049	+
chr1	39550195	39550913	+
chr1	39559621	39560304	-
chr1	39592573	39594100	+
chr1	39594760	39596796	+
chr1	39596879	39597126	-
chr1	39598815	39603614	-
chr1	39599620	39600231	+
chr1	39600940	39601596	+
chr1	39602081	39605787	+
chr1	39603628	39604035	-
chr1	39604053	39605793	-
chr1	39605795	39606877	-
chr1	39606890	39610010	-
chr1	39610015	39626056	-
chr1	39626080	39634257	-
chr1	39634669	39636419	+
chr1	39634962	39636198	-
chr1	39640238	39640661	+
chr1	39647297	39647950	+
chr1	39658907	39659461	-
chr1	39670284	39671899	-
chr1	39671485	39672182	+
chr1	39673619	39674016	-
chr1	39674840	39675339	-
chr1	39676384	39678044	-
chr1	39692086	39693715	-
chr1	39693183	39693656	+
chr1	39698761	39699491	-
chr1	39701824	39702583	-
chr1	39703281	39703980	-
chr1	39706657	39708144	-
chr1	39707016	39707514	+
chr1	39743735	39744297	-
chr1	39792984	39793276	+
chr1	39818300	39818936	-
chr1	39818444	39819525	+
chr1	39957830	40002029	+
chr1	40002643	40023407	+
chr1	40024752	40026737	+
chr1	40027170	40029306	+
chr1	40030001	40053674	+
chr1	40053856	40054180	+
chr1	40054186	40062104	+
chr1	40062605	40075500	+
chr1	40076060	40089856	+
chr1	40281941	40286449	+
chr1	40287106	40291418	+
chr1	40292030	40295319	+
chr1	40296428	40300814	+
chr1	40303600	40304017	+
chr1	40305024	40305626	+
chr1	40306836	40308744	+
chr1	40309248	40312672	+
chr1	40313135	40315028	+
chr1	40315885	40317837	+
chr1	40318873	40320359	+
chr1	40321108	40321904	+
chr1	40323889	40330338	+
chr1	40331928	40333451	+
chr1	40334172	40334422	+
chr1	40336611	40338192	+
chr1	40339584	40341529	+
chr1	40342691	40343338	+
chr1	40344500	40345259	+
chr1	40345830	40346256	+
chr1	40347859	40349150	+
chr1	40349765	40353286	+
chr1	40354418	40357044	+
chr1	40358318	40361060	+
chr1	40361551	40362507	+
chr1	40363042	40363745	+
chr1	40366543	40367041	+
chr1	40367782	40368344	+
chr1	40369149	40373932	+
chr1	40374477	40375941	+
chr1	40376111	40376757	+
chr1	40378251	40378889	+
chr1	40381401	40382175	+
chr1	40383868	40384320	+
chr1	40387606	40387900	+
chr1	40401781	40402485	+
chr1	40402983	40405137	+
chr1	40410478	40410855	+
chr1	40422090	40422872	+
chr1	40425012	40425291	+
chr1	40557352	40557624	+
chr1	40657533	40659486	+
chr1	40660322	40661720	+
chr1	40662566	40664757	+
chr1	40665417	40666213	+
chr1	40669188	40669617	+
chr1	40676346	40676790	+
chr1	40677792	40678202	+
chr1	40679458	40680338	+
chr1	40681348	40681751	+
chr1	40682393	40683364	+
chr1	40684257	40686775	+
chr1	40687301	40689729	+
chr1	40846915	40847522	-
chr1	40847577	40849396	+
chr1	42908110	42911182	+
chr1	42912373	42913561	+
chr1	42914610	42916273	+
chr1	42919302	42919558	+
chr1	42920229	42921828	+
chr1	42922487	42923363	+
chr1	42924582	42925189	+
chr1	42925708	42926276	+
chr1	42926865	42929745	+
chr1	42930785	42931781	+
chr1	42932229	42935222	+
chr1	42936764	42937330	+
chr1	42937893	42951734	+
chr1	42952184	42952823	+
chr1	42953378	42954642	+
chr1	42955284	42960301	+
chr1	42962259	42966809	+
chr1	42967408	42968394	+
chr1	42969092	42969369	+
chr1	43098865	43099462	-
chr1	43100880	43101236	-
chr1	43101764	43112162	-
chr1	43112999	43113430	-
chr1	43115864	43116143	-
chr1	43116690	43120995	-
chr1	43121590	43124883	-
chr1	43126342	43132813	-
chr1	43135915	43137648	-
chr1	43138056	43138411	-
